influenza_num,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI
280,19.5,12.7,26.2,1.6,48,963.9,0.0,29.0,71.0,1.674,75.0,183.0,66.0,117.0
406,23.0,17.5,29.8,1.8,44,961.4,0.0,26.0,54.0,1.346,46.0,122.0,126.0,99.0
418,22.3,16.3,28.7,3.1,45,963.7,0.0,33.0,59.0,1.685,60.0,167.0,141.0,109.0
324,21.8,17.5,26.3,2.8,50,965.6,0.0,23.0,47.0,1.493,82.0,164.0,129.0,109.0
359,19.9,17.6,24.2,4.3,66,965.2,0.8,13.0,35.0,1.424,79.0,135.0,99.0,105.0
563,17.8,16.1,19.3,4.2,80,965.9,0.0,16.0,41.0,1.522,85.0,128.0,54.0,113.0
407,17.7,16.1,19.2,2.8,81,966.3,0.0,20.0,47.0,1.548,98.0,155.0,38.0,129.0
460,16.8,15.9,18.9,3.1,82,966.3,3.2,20.0,45.0,1.318,71.0,109.0,48.0,95.0
413,18.6,15.2,24.4,3.4,64,967.2,5.8,21.0,43.0,1.263,23.0,70.0,66.0,60.0
401,20.2,11.9,28.8,1.3,39,964.6,0.0,26.0,56.0,1.241,43.0,107.0,107.0,79.0
331,23.6,14.1,32.9,2.3,30,958.2,0.0,27.0,48.0,1.104,37.0,100.0,108.0,78.0
419,26.3,15.7,36.6,1.8,27,955.2,0.0,38.0,54.0,1.286,46.0,117.0,131.0,113.0
553,27.9,19.5,35.3,2.1,31,953.1,0.0,32.0,58.0,1.233,56.0,147.0,131.0,113.0
520,26.8,21.1,30.9,1.9,38,955.2,0.0,29.0,53.0,1.211,62.0,142.0,98.0,96.0
478,23.3,21.6,27.6,4.9,48,960.4,0.0,26.0,49.0,1.223,83.0,184.0,85.0,117.0
451,20.4,16.6,24.4,3.2,73,965.2,4.1,18.0,42.0,1.301,83.0,143.0,97.0,110.0
387,16.9,16.3,21.4,2.5,93,966.6,13.5,14.0,30.0,1.326,50.0,75.0,46.0,69.0
276,20.3,15.7,26.9,1.4,72,962.0,1.9,18.0,36.0,1.195,33.0,75.0,93.0,72.0
295,24.2,18.0,30.7,2.2,55,958.7,0.0,15.0,45.0,1.345,60.0,179.0,75.0,115.0
549,25.4,17.7,33.2,1.8,38,956.3,0.0,27.0,67.0,1.366,86.0,239.0,100.0,145.0
550,27.8,19.0,35.6,1.3,41,952.8,0.0,24.0,79.0,1.701,83.0,198.0,142.0,124.0
502,26.7,23.0,33.1,2.9,59,956.2,0.1,14.0,55.0,1.286,60.0,158.0,92.0,104.0
454,22.4,18.6,28.4,2.7,71,963.2,0.0,13.0,35.0,1.116,62.0,109.0,127.0,115.0
459,21.9,19.2,25.2,3.0,76,965.0,1.9,13.0,39.0,1.245,52.0,108.0,61.0,79.0
354,19.8,18.6,23.4,3.4,92,960.1,49.3,14.0,44.0,1.439,47.0,74.0,25.0,65.0
301,20.4,18.1,25.1,1.9,88,957.2,24.8,11.0,36.0,1.441,35.0,46.0,64.0,50.0
521,23.7,17.9,29.7,2.3,74,956.8,0.0,13.0,45.0,1.382,49.0,86.0,116.0,93.0
415,19.2,16.0,27.1,3.6,82,964.1,24.2,13.0,37.0,1.065,33.0,58.0,44.0,54.0
426,17.2,12.3,21.7,2.7,69,972.3,10.0,16.0,37.0,0.785,17.0,36.0,70.0,48.0
397,19.5,16.0,22.8,2.1,57,966.1,0.0,27.0,55.0,1.026,31.0,79.0,40.0,69.0
410,20.4,17.3,23.4,2.6,57,961.4,0.0,19.0,55.0,1.091,32.0,81.0,36.0,69.0
292,23.9,16.7,33.7,1.7,47,958.7,0.0,24.0,68.0,1.342,42.0,103.0,102.0,93.0
392,26.4,18.3,34.6,1.6,48,958.0,0.0,28.0,74.0,1.327,57.0,152.0,155.0,153.0
526,27.2,20.3,34.8,2.1,47,957.4,0.0,20.0,56.0,1.124,44.0,144.0,119.0,98.0
443,29.6,21.2,37.3,2.7,41,956.9,0.0,14.0,39.0,1.029,39.0,91.0,95.0,71.0
